country,2005
China,1330776380
India,1147609924
European Union,435581949
United States of America,294993509
Indonesia,226289468
Brazil,186127108
Pakistan,160304007
Russia,143672125
Bangladesh,139035505
Nigeria,138865014
Japan,128326115
Mexico,106005199
Philippines,86326251
Vietnam,83832662
Germany,81602739
Ethiopia,76346310
Egypt,75523576
Iran,69762345
Turkey,67903461
Thailand,65416189
France,61120128
United Kingdom,60287953
Italy,58281209
Democratic Republic of the Congo,54785894
Myanmar,48949931
South Korea,48701069
South Africa,47880595
Ukraine,46890775
Spain,44019118
Colombia,42647731
Argentina,38892924
Tanzania,38450323
Poland,38368957
Kenya,36624897
Algeria,33149720
Canada,32164313
Sudan,30949514
Morocco,30455563
Peru,27866140
Uganda,27684590
Iraq,26922279
Venezuela,26432445
Uzbekistan,26427785
Nepal,25744500
Malaysia,25690615
Afghanistan,25654274
North Korea,23904167
Saudi Arabia,23816175
Taiwan,22705719
Ghana,21814648
Romania,21417287
Mozambique,20493927
Australia,20178543
Yemen,20107416
Sri Lanka,19544988
Angola,19433604
Syria,18361178
Ivory Coast,18354513
Madagascar,18336722
Cameroon,17733408
Netherlands,16367153
Chile,16182713
Kazakhstan,15402803
Ecuador,13825839
Niger,13624474
Burkina Faso,13421935
Cambodia,13273355
Guatemala,13096028
Mali,12775509
Malawi,12625950
Zimbabwe,12076697
Zambia,11856244
Cuba,11261586
Greece,11224800
Senegal,11090123
Belgium,10546885
Portugal,10508494
Somalia,10446856
Czech Republic,10258165
Tunisia,10106778
Chad,10096630
Hungary,10085942
Belarus,9562083
Bolivia,9232301
Haiti,9195289
Serbia and Montenegro,9193818
Guinea,9109585
Dominican Republic,9097262
Sweden,9038627
Rwanda,8840220
Azerbaijan,8538610
Austria,8253656
Benin,7982223
Bulgaria,7686964
South Sudan,7535931
Honduras,7458982
Switzerland,7386818
Burundi,7364857
Tajikistan,6789318
Hong Kong,6769579
Israel,6529470
Papua New Guinea,6494902
El Salvador,6052124
Paraguay,5824095
Libya,5798615
Jordan,5765639
Laos,5751675
Sierra Leone,5645629
Togo,5611643
Nicaragua,5438692
Denmark,5421701
Slovakia,5398962
Finland,5258933
Kyrgyzstan,5075340
Turkmenistan,4754652
Lebanon,4698761
Norway,4632359
United Arab Emirates,4588222
Croatia,4378066
Costa Rica,4285504
Singapore,4265693
Georgia,4210158
Moldova,4159296
Ireland,4141218
New Zealand,4135353
Central African Republic,4038380
Bosnia and Herzegovina,3765332
Puerto Rico,3631885
Congo,3622775
Palestine,3577956
Lithuania,3344259
Panama,3330222
Uruguay,3321799
Liberia,3218114
Albania,3086810
Mauritania,3024198
Armenia,2981262
Eritrea,2826653
Jamaica,2740000
Mongolia,2526429
Oman,2511254
Kuwait,2270196
Latvia,2251996
Macedonia,2060280
Lesotho,1996115
Slovenia,1994979
Namibia,1938316
Botswana,1799077
Gambia,1543745
Gabon,1390550
Estonia,1355650
Guinea-Bissau,1344931
Trinidad and Tobago,1296497
Mauritius,1222010
Swaziland,1030575
Cyprus,1027657
East Timor,995130
Bahrain,889157
Qatar,865410
Fiji,821606
Réunion,791598
Djibouti,783248
Equatorial Guinea,749527
Guyana,746156
Bhutan,648744
Comoros,611625
Suriname,499461
Macao,482863
Solomon Islands,469918
Cape Verde,463034
Luxembourg,457848
Western Sahara,437516
Malta,404659
Guadeloupe,402903
Martinique,397191
Brunei,365112
Bahamas,324848
Maldives,319604
Iceland,294976
Belize,283798
Barbados,276320
French Polynesia,258780
New Caledonia,236441
Vanuatu,209282
French Guiana,202973
Samoa,179722
Saint Lucia,163408
Sao Tome and Principe,157472
Curaçao,130136
Saint Vincent and the Grenadines,108617
Virgin Islands,107801
Grenada,104658
Tonga,100908
Aruba,100028
Kiribati,92319
Seychelles,88652
Antigua and Barbuda,81462
