country,2017,area
China,1421021794,9596961
India,1338676779,3287263
European Union,446131273,4233262
United States of America,325084758,9833520
Indonesia,264650969,1904569
Pakistan,207906210,8515767
Brazil,207833825,881913
Nigeria,190873247,923768
Bangladesh,159685421,147570
Russia,145530091,17075200
Japan,127502728,377972
Mexico,124777326,1972550
Ethiopia,106399926,1104300
Philippines,105172921,343448
Egypt,96442590,1010408
Vietnam,94600643,331230.8
Germany,82658409,357168
Democratic Republic of the Congo,81398765,2345409
Turkey,81116451,783356
Iran,80673888,1648195
Thailand,69209817,513120
United Kingdom,66727463,242495
France,64842513,640679
Italy,60673694,301338
South Africa,57009751,1221037
Tanzania,54660345,947303
Myanmar,53382521,676578
South Korea,51096408,100210
Kenya,50221146,580367
Colombia,48909844,1141748
Spain,46647425,505990
Ukraine,44487708,603628
Argentina,43937143,2780400
Algeria,41389174,2381741
Uganda,41166588,241038
Sudan,40813398,1886068
Poland,37953176,312679
Iraq,37552789,437072
Canada,36732091,9984670
Afghanistan,36296111,652864
Morocco,35581257,710850
Saudi Arabia,33101183,2149690
Uzbekistan,31959774,448978
Peru,31444299,1285216
Malaysia,31104655,330803
Angola,29816769,1246700
Venezuela,29402480,716445
Ghana,29121464,239567
Mozambique,28649007,801590
Yemen,27834811,527968
Nepal,27632682,147181
Madagascar,25570511,587041
North Korea,25429816,120540
Australia,24584619,7692024
Cameroon,24566070,475442
Ivory Coast,24437475,322463
Taiwan,23674546,36197
Niger,21602388,1267000
Sri Lanka,21128028,65610
Romania,19653966,238397
Burkina Faso,19193236,274200
Mali,18512429,1240192
Chile,18470435,756096
Kazakhstan,18080023,2724900
Malawi,17670193,118484
Syria,17095669,185180
Netherlands,17021343,41543
Guatemala,16914979,108889
Zambia,16853608,752618
Ecuador,16785356,283561
Cambodia,16009413,181035
Senegal,15419354,196712
Chad,15016761,1284000
Somalia,14589165,637657
Zimbabwe,14236599,390757
Guinea,12067516,245836
Rwanda,11980960,26338
Tunisia,11433438,163610
Belgium,11419752,30528
Cuba,11339255,109884
Bolivia,11192853,1098581
Benin,11175192,114763
Haiti,10982367,27750
South Sudan,10910774,619
Burundi,10827010,27834
Czech Republic,10641032,78866
Greece,10569449,131957
Dominican Republic,10513111,48315
Portugal,10288527,92212
Sweden,9904895,450295
Azerbaijan,9845316,86600
Jordan,9785840,89341
Hungary,9729822,93030
United Arab Emirates,9487206,83600
Belarus,9450233,207595
Honduras,9429016,112492
Tajikistan,8880270,143100
Serbia and Montenegro,8829623,91286
Austria,8819902,83879
Switzerland,8455797,41285
Papua New Guinea,8438038,462840
Israel,8243849,22072
Togo,7698476,56785
Sierra Leone,7488427,71740
Hong Kong,7306315,2755
Bulgaria,7102452,110993.6
Laos,6953031,237955
Paraguay,6867058,406752
Lebanon,6819373,10452
Libya,6580723,1759541
El Salvador,6388124,21041
Nicaragua,6384843,130375
Kyrgyzstan,6189727,199951
Turkmenistan,5757667,491210
Denmark,5732277,42931
Singapore,5708042,721.5
Finland,5511372,338424
Slovakia,5447903,49035
Norway,5296324,385203
Congo,5110701,342000
Costa Rica,4949955,51100
Ireland,4753281,70273
Palestine,4747233,6020
Liberia,4702224,111369
New Zealand,4702029,268021
Oman,4665926,309500
Central African Republic,4596023,622984
Mauritania,4282582,1030000
Croatia,4182847,56594
Panama,4106764,75417
Moldova,4059687,33846
Kuwait,4056102,17818
Georgia,4008723,69700
Uruguay,3436645,176215
Eritrea,3412894,117600
Bosnia and Herzegovina,3351534,51129
Puerto Rico,3163676,9104
Mongolia,3113788,1566000
Armenia,2944789,29743
Jamaica,2920848,10991
Albania,2884169,28748
Lithuania,2845419,65300
Qatar,2724727,11581
Namibia,2402623,825615
Gambia,2213900,10689
Botswana,2205076,581730
Lesotho,2091532,30355
Macedonia,2081996,25713
Slovenia,2076395,20273
Gabon,2064812,267667
Latvia,1951097,64589
Guinea-Bissau,1828146,36125
Bahrain,1494077,765.3
Trinidad and Tobago,1384060,5131
Estonia,1319389,45227
Mauritius,1264497,2040
Equatorial Guinea,1262008,28050
East Timor,1243260,15007
Cyprus,1179685,9251
Swaziland,1124808,17364
Djibouti,944100,23200
Fiji,877460,18274
Réunion,876131,2511
Comoros,813890,1861
Guyana,775218,214970
Bhutan,745563,38394
Solomon Islands,636030,28400
Macao,622578,115.3
Luxembourg,591914,2586
Suriname,570501,163821
Western Sahara,552617,266000
Cape Verde,537499,4033
Maldives,496398,298
Malta,437935,316
Brunei,424481,5765
Guadeloupe,399679,1628
Bahamas,381749,13878
Martinique,375946,1128
Belize,375775,22966
Iceland,334395,102775
Barbados,286229,439
Vanuatu,285499,12189
New Caledonia,277159,18576
French Polynesia,276108,4167
French Guiana,275189,83534
Sao Tome and Principe,207086,1001
Samoa,195358,2842
Saint Lucia,180955,617
Curaçao,161986,444
Kiribati,114153,811
Grenada,110874,348
Saint Vincent and the Grenadines,109826,389
Aruba,105361,180
Virgin Islands,104745,346
Tonga,102002,748
Seychelles,96418,459
Antigua and Barbuda,95425,440
