country,1990,2005,2017
Afghanistan,2.546,1.063,11.422
Albania,6.583,4.196,5.026
Algeria,65.677,98.197,159.929
Angola,5.851,15.975,30.876
Anguilla,0.006,0.014,0.028
Antigua and Barbuda,0.223,0.283,0.624
Argentina,112.434,165.429,209.968
Armenia,20.699,4.542,4.832
Aruba,0.297,0.470,0.959
Australia,275.408,391.590,402.253
Austria,62.918,80.994,72.249
Azerbaijan,58.077,30.485,32.544
Bahamas,1.524,2.068,2.997
Bahrain,11.988,23.388,35.775
Bangladesh,13.868,38.834,84.546
Barbados,0.776,2.162,3.172
Belarus,109.069,61.396,62.340
Belgium,115.903,118.708,104.221
Belize,0.188,0.440,0.440
Benin,0.415,2.839,7.097
Bermuda,0.335,0.284,0.429
Bhutan,0.208,0.515,1.454
Bolivia,6.287,9.998,20.462
Bosnia and Herzegovina,24.559,16.890,25.618
Botswana,2.818,4.465,7.913
Brazil,228.603,380.765,492.791
Virgin Islands,0.026,0.032,0.149
Brunei,3.397,5.174,6.711
Bulgaria,82.271,52.032,49.568
Burkina Faso,0.380,1.038,3.399
Burundi,0.210,0.307,0.289
Cambodia,0.407,2.686,10.560
Cameroon,7.097,5.520,9.768
Canada,455.827,581.267,617.301
Cape Verde,0.049,0.227,0.955
Cayman Islands,0.148,0.188,0.493
Central African Republic,0.159,0.246,0.486
Chad,0.268,0.383,0.925
Chile,32.654,59.747,90.325
China,2397.048,6263.064,10877.218
Colombia,51.919,60.610,74.954
Comoros,0.049,0.115,0.206
Congo,0.902,4.359,5.514
Cook Islands,0.043,0.058,0.047
Costa Rica,2.913,6.306,8.138
Croatia,25.164,23.634,17.466
Cuba,37.109,26.165,31.277
Curaçao,5.474,4.774,7.519
Cyprus,4.540,7.883,7.035
Czech Republic,162.835,127.157,109.756
Democratic Republic of the Congo,3.441,2.589,3.496
Denmark,53.705,51.485,33.573
Djibouti,1.101,1.469,1.014
Dominica,0.033,0.035,0.122
Dominican Republic,8.024,19.409,23.111
East Timor,0.130,0.272,0.422
Ecuador,16.119,28.320,39.507
Egypt,90.783,176.329,258.668
El Salvador,2.633,6.905,7.857
Equatorial Guinea,0.097,3.371,2.469
Eritrea,0.214,0.688,0.737
Estonia,38.467,19.643,17.890
Swaziland,0.602,1.541,1.247
Ethiopia,2.390,5.327,14.900
European Union,4409.339,4249.995,3548.345
